Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Account),Custom field (Business Value),Custom field (Cascading Select),Custom field (Effort),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Founder Sign-off),Custom field (Frustration),Custom field (Incorporated Version),Custom field (Iteration),Custom field (Link to play),Custom field (Morale),Custom field (Parent Link),Custom field (Peer Sign-off),Custom field (Phone Screen Feedback),Custom field (Phone Screen Score),Custom field (QA Completed On),Custom field (Raised During),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team),Custom field (Test Sessions),Custom field (Testing Notes status),Custom field (Testing Status),Custom field (Total Days Spent),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Implement Site Usage Statistics,AXON-602,16404,,Epic,To Do,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Low,,,jbledsoe,jbledsoe,12/May/16 12:55 PM,12/May/16 12:55 PM,01/Nov/16 4:03 PM,,,Public Web,,,,0,,,,"Who is using the web site, for how long, etc.",,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,ghx-label-2,,Usage Statistics,To Do,,,,,,,,,,,,,0|i005pr:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
NBC Phase 2 Web Application,AXON-107,11918,,Epic,To Do,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Low,,,jbledsoe,jbledsoe,11/Sep/15 11:23 AM,06/May/16 11:25 AM,01/Nov/16 4:03 PM,,NBC v2.0,Public Web,,,,0,,,,Tasks and user stores that manifest in the public Axon web application to be deployed to NBC as Phase 2 of their Statement of Work.,,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,ghx-label-4,,NBC Web,To Do,,,,,,,,,,,,,0|i001un:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Implement Sales Promotion Data Retrieval and Storage,AXON-116,11933,,Epic,To Do,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Low,,,jbledsoe,jbledsoe,11/Sep/15 2:19 PM,10/Nov/15 11:08 AM,01/Nov/16 4:03 PM,,NBC v2.0,,,,,0,,,,"We need logic to retrieve sales promotion data (both historic and predictive) periodically and to store it in a client-specific location, from which it can be included in client-specific predictive models.

The first use of this sales promotion data for predictive modeling will be for NBC Phase 2. 

This epic includes everything related to incorporating sales promotion data into Axon forecasting, including periodic retrieval and storage.",,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,ghx-label-1,,Sales Promotion Data,To Do,,,,,,,,,,,,,0|i001x3:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Help: Documentation - FAQ,AXON-1164,22236,23006,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,edunne,edunne,edunne,07/Oct/16 12:46 PM,28/Oct/16 1:08 PM,01/Nov/16 4:03 PM,,,,,,28/Oct/16 12:00 AM,0,okr,,,,,edunne,,,Done;27/Oct/16 3:04 PM;edunne;5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5400,,,0,5400,,,,,,,,,,,,,,,,,,27/Oct/16 3:04 PM;edunne;Help FAQ SS.png;https://giresearch.atlassian.net/secure/attachment/19402/Help+FAQ+SS.png,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00d0n:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
NBC Product Data Import,AXON-355,14107,,Task,Canceled,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,,jbledsoe,jbledsoe,22/Feb/16 12:13 PM,17/Oct/16 10:43 AM,01/Nov/16 4:03 PM,,,Data Processing Engine,,,,0,,,,If NBC can provide us with a (machine-readable) file containing their product data (specifically mapping RouteEX identifiers to Short Pick identifiers) then we can import it as part of the NBC workflow and not bother with a product maintenance screen.,,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,AXON-107,,,,,,,,,,,,,,,0|i003m7:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Create Expression-based Mapping Class to Map DTOs to View Models,AXON-171,12701,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,,jbledsoe,jbledsoe,16/Nov/15 3:10 PM,17/Oct/16 10:39 AM,01/Nov/16 4:03 PM,16/Nov/15 3:10 PM,,Internal API,Public Web,,,0,,,,"Right now, there is no DRY way to map ServiceStack DTO classes to MVC view model classes. Custom code must be written to:
# Copy DTO properties to view model properties on entity load.
# Copy view model properties to DTO properties on entity create/update.
# Copy DTO field errors to view model state errors when entities fail validation.

It'd be great to have a mechanism by which these mappings could be specified once and used in all three scenarios. I believe that a fluent interface using .NET Expression classes is the ideal mechanism, because it allows for both compilation of expressions into functions to get and set property values (in either direction) and parsing of property names for mapping of errors. 

Since we have a relatively low number of DTO/view model maps that are needed though, this task isn't a high priority.",,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXON-161,,AXON-169,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i002en:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Verify/Fix NBC Product Maintenance Page Responsive Display,AXON-271,13614,,Bug,Canceled,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,jbledsoe,jbledsoe,jbledsoe,11/Jan/16 12:26 PM,17/Oct/16 10:34 AM,01/Nov/16 4:03 PM,,NBC v2.0,Public Web,,,,0,,,,"For instance, the table doesn't resize on screen resize.",,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i0030f:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
investigate azure functions (C# lambda),AXON-489,15006,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,01/Apr/16 8:04 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i004dz:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Secure ASP.NET Settings,AXON-70,11301,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,j.monty,j.monty,24/Jul/15 6:05 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,NBC v2.0,,,,,0,,,,"Want to make sure web.config / server level settings are done securely and cannot be developer overridden. 

Cookies should be always set with the secure attribute at the end:
https://www.owasp.org/index.php/SecureFlag

This can be accomplished in Web.config: <httpCookies requireSSL=""true"" /> or through rewriting Set-Cookie header (not as ideal if we can make sure the web.config can be set and not accidently changed.

There will be other settings like this we need to research.",,j.monty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i001b3:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
make ddb conf deployment automated from git,AXON-436,14502,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,10/Mar/16 11:13 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"Do this with Jenkins:

Jenkins polls git, gets ddb config changes, and rotates them out on dynDDB server.  See ""Manage Dev Stacks"" jenkins job for example of how to interact with dynDDB host over ssh from Jenkins.",,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i0037y:zu2,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
set up vanity urls for aws account login pages,AXON-393,14302,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,01/Mar/16 3:06 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i003r5:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
bring atlassian in house,AXON-361,14117,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,22/Feb/16 4:19 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"stash
confluence
jira
bitbucket?",,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i003of:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
cleanup items from first pass of infrax as code,AXON-418,14400,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,07/Mar/16 9:17 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"* remove share privs from all users in LPE to prod
* make sure pepsiMinot points @ new sftpHost!
",,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,AXON-184,,,,,,,,,,,,,,,0|i0037y:zv,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
add IAM bucket policies to s3 buckets,AXON-416,14325,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,04/Mar/16 1:41 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i0037y:zr,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
ensure deployCfnTemplates.ps1 throws on any != UPDATE_COMPLETE,AXON-412,14321,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,03/Mar/16 11:08 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,AXON-184,,,,,,,,,,,,,,,0|i0037u:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
remove dependency on admin account for golden images,AXON-411,14320,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,03/Mar/16 10:07 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,AXON-184,,,,,,,,,,,,,,,0|i0037y:zi,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
rework deployCfnTemplates.ps1 to dynamically pull stacks from AllowedValues,AXON-410,14319,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,03/Mar/16 9:20 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,AXON-184,,,,,,,,,,,,,,,0|i0037y:z,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
genericize AWS admin account (login/account url),AXON-373,14129,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,23/Feb/16 10:47 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i003r3:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
investigate https://www.threatstack.com and the like,AXON-521,15512,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,20/Apr/16 1:43 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,Infrax,Security Framework,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i004yv:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
follow up on Vault security audit results,AXON-517,15505,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,20/Apr/16 10:13 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,Infrax,,,,0,,,,https://github.com/hashicorp/vault/issues/220,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i004xj:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
make devApp user/keys conditional upon dev,AXON-434,14500,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,10/Mar/16 8:53 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i0037y:zu9,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
attach dev level support to aws admin account,AXON-398,14307,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,01/Mar/16 4:45 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i003r6:x,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
enable global security on linuxbuild jenkins,AXON-395,14304,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,01/Mar/16 3:09 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i003r6:i,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
read only keys for prod dynamo,AXON-598,16400,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,12/May/16 8:41 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"make a set of keys so the devs can read prod data when troubleshooting problems.  all tables, read only",,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i005ov:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
utility to notify when ddb tables are @ 4 scale downs for the utc day.,AXON-592,16309,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,11/May/16 10:50 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,waiting on data;13/May/16 11:43 AM;emiller;3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3600,,,0,3600,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i005nb:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
hearbeat/canary alert for dynDDB in dev / prod,AXON-490,15007,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,01/Apr/16 9:17 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i004e7:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
ensure all lambda functions are being deployed through build/deploy workflow,AXON-422,14404,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,07/Mar/16 4:01 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,AXON-184,,,,,,,,,,,,,,,0|i0037y:zx,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
modify cfn deploy script to update stacks in parrallel,AXON-403,14312,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,02/Mar/16 10:04 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,AXON-184,,,,,,,,,,,,,,,0|i0037x:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
research distributed security alerting,AXON-391,14300,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,01/Mar/16 9:19 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,https://slack.engineering/distributed-security-alerting-c89414c992d6#.jh1nw9feb,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i003qb:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
IAM policies to isolate dynamo tables,AXON-364,14120,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,22/Feb/16 4:23 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i003p3:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
easy button to create throwaway dev ddb tables,AXON-590,16307,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,11/May/16 10:35 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i005mv:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
CI / CD process for Data Science team,AXON-505,15411,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,12/Apr/16 1:18 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,researching mini-cran;12/Apr/16 5:19 PM;emiller;2580,.;18/Apr/16 12:35 PM;emiller;660,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3240,,,0,3240,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i004mv:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
make dynddb sns subscription for slack channel,AXON-431,14413,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,09/Mar/16 11:24 AM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,AXON-184,,,,,,,,,,,,,,,0|i0037y:zw,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
add full CRUD support for multiple regions/uids to deployCfnTemplates.ps1,AXON-401,14310,,Task,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Lowest,,j.monty,emiller,emiller,02/Mar/16 2:18 PM,17/Oct/16 10:30 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,see comments in script,,emiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,AXON-184,,,,,,,,,,,,,,,0|i0037t:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
